artist,date_year,date_month,date_day,auctioneer,owner,lot number,title,dim_height,dim_width,purchaser,pounds,shillings,pence
"Backhuysen, Ludolf",1848,June,2,Christie's,Sir Thomas Baring,130,Fresh Breeze,,,Nieuwenhuys,283,10,0
"Berghem, Nicholas",1829,May,25,Christie's,Earl of Liverpool,67,"Peasant driving Cattle, old Woman on an Ass",,,Baring,180,12,0
"Berghem, Nicholas",1848,June ,2,Christie's,Sir Thomas Baring,103,"Peasant with Cows, Woman seated",,,Evans,150,3,0
"Berghem, Nicholas",1848,June,2,Christie's,Sir Thomas Baring,110,"Lady on a Mule, etc.",,,Nieuwenhuys,116,11,0
"Bonington, Richard Parkes",1907,May,4,Christie's,Francis Baring,13,"On Giudecca Canal, Venice",9.5,12.5,Patterson,120,15,0
"Both, Andreas and Jan",1829,May,9,Christie's,Lord Gwydir,83,Judgement of Paris,,,Baring,483,0,0
"Breton, Jules Adolphe",1893,June,3,Christie's,Hon. Francis Baring,5,A Brittany Shepherdess,23,17,McLean,420,0,0
Bronzino,1893,June,3,Christie's,Hon. Francis Baring,11,Leonora de Toldeo,34,26,M. Colnaghi,152,0,0
"Carracci, Anibale",1829,June,13,Christie's,George Hibbert,70,"Infant Christ Sleeping, Three Angels",,,Baring,425,5,0
"Collins, William",1848,June,2,Christie's,Sir Thomas Baring,50,"Boulogne, with Firshermen and Girls",,,Nieuwenhuys,241,10,0
"Collins, William",1848,June,2,Christie's,Sir Thomas Baring,55,Roman Woman at Altar,,,Sequier,158,11,0
"Collins, William",1848,June ,2,Christie's,Sir Thomas Baring,58,Taking Seafowls' Eggs,,,Rought,257,5,0
"Constable, John",1848,June,2,Christie's,Sir Thomas Baring,21,Opening Waterloo Bridge,,,Barton,33,2,0
"Cooke, Edward William",1893,June,3,Christie's,Hon. Francis Baring,2,Fishing Boats Ashore,25.5,37.5,Philpot,215,5,0
"Creswick, Thomas",1893,June,3,Christie's,Hon. Francis Baring,3,The Forest Farm pd. with Fristh,26.5,35.5,Young,267,15,0
"De Hooghe, Peter",1848,June,2,Christie's,Sir Thomas Baring,136,Lady reading a Letter-Cavalier in Doorway,,,Theobald,72,9,0
"De Loutherbourgh, Philippe Jacques",1848,June,2,Christie's,Sir Thomas Baring,49,Fire of London-Group under Arch,,,Nieuwenhuys,210,0,0
"Dietrich, Christian Wilhelm Ernst",1907,May,4,Christie's,Francis Baring,58,An Artist and His Wife,24,28.5,Durlacher,546,0,0
Domenichino ,1826,May,12,Christie's,Lord Radstock,59,Moses before burning Bush,17.5,13,Baring,283,10,0
"Gainsborough, Thomas",1848,June,2,Christie's,Sir Thomas Baring,33,Woody Scene-Shee and Hilly distance,,,Furlinger,5,5,0
"Gainsborough, Thomas",1848,June,2,Christie's,Sir Thomas Baring,61,"Lodge in Windsor Park, Royal Children descending steps with grey horse and woman with cows",,,Nieuwenhuys,325,10,0
"Gainsborough, Thomas",1907,May,4,Christie's,Francis Baring,64,Peasants driving Cattle,19,23,Agnew,173,5,0
