artist,year,month_day,auction house,seller,seller/artwork,purchaser,pounds,shillings,pence,
"HAAG, Carl",1854,—,"Town Hall, L'pl.",,James Robinson. 83. A Lady of Coblentz. Drawing ,—,,,,
"HAAG, Carl",1854,—,"Town Hall, L'pl.",,Thos. Avison. 166. The Campagnole. Drawing ,—,,,,
"HAAG, Carl",1863,4/17/2016,Christie's,,Lewin B. Mozley. 30. Holy Water. Drawing. 19! x 135 ,Marks,55,13,0,
"HAAG, Carl",1875,4/9/2016,Christie's,,William Quilter. 267. Tyrolese Huntsman,Vokins,525,0,0,
"HAAG, Carl",1875,4/9/2016,Christie's,,William Quilter. 271. Leaving Palmyra,Agnew,414,15,0,
"HAAG, Carl",1875,5/7/2016,Christie's,,William Leaf. 441. Dalmatian Peasant,Vokins,178,10,0,
"HAAG, Carl",1875,5/7/2016,Christie's,,William Leaf. 443. Rehearsal—Cairo,Addington,551,5,0,
"HAAG, Carl",1876,4/29/2016,Christie's,,Charles Suthers. 26. The Bedouin's Devotion,Wood,735,0,0,
"HAAG, Carl",1879,3/22/2016,Christie's,,John Fleming. 29. A Tyrolese Hunter. 20x13^,Vokins,183,15,0,
"HAAG, Carl",1881,3/26/2016,Christie's,,Daniel Roberts. (985 M.) 47. Crossing the Desert. 1864,Bought in,126,0,0,
"HAAG, Carl",1881,4/28/2016,Christie's,,(1082 M.) hi. Crossing the Desert. 1864,Bought in,210,0,0,
"HAAG, Carl",1881,4/28/2016,Christie's,,112. Arab Family,Bought in,210,0,0,
"HAAG, Carl",1882,5/6/2016,Christie's,,Col. Arbuthnot. 26. Welcome—Desert,Bought in,141,15,0,
"HAAG, Carl",1883,4/14/2016,Christie's,,"E. A. Pittis. (350 R.) 85. Val d'Aquadetta, Smyrna. 1888. 12 x 24 ",Bought in,173,5,0,
"HAAG, Carl",1884,3/29/2016,Christie's,,W. E. Sibeth. (268 T.) 52. Tyrolese Huntsman and Girl. 46! x 30!,Vokins,420,0,0,
"HAAG, Carl",1884,3/29/2016,Christie's,,W. E. Sibeth. 53. Reading Pentateuch. 1869. 47 x 30^ ,Vokins,504,0,0,
"HAAG, Carl",1884,3/29/2016,Christie's,,W. E. Sibeth. 54. Allahn Akbar at Prayer. 1873. 16^x34 ,Vokins,598,10,0,
"HAAG, Carl",1884,3/29/2016,Christie's,,W. E. Sibeth. 55. Mast Allah. 1870. 19JX13I ,Vokins,110,5,0,
"HAAG, Carl",1884,3/29/2016,Christie's,,W. E. Sibeth. 57. Wandering Arab Family. 1866. 20x14 ,Vokins,336,0,0,
"HAAG, Carl",1884,3/29/2016,Christie's,,"W. E. Sibeth. 58. Temple of Jupiter, Rome. 1852. 195X14 ",Agnew,99,15,0,
"HAAG, Carl",1884,3/29/2016,Christie's,,W. E. Sibeth. 59. The Coblentz Maid. 1853. 20^x15^ ,Vokins,141,15,0,
"HAAG, Carl",1884,6/21/2016,Christie's,,Col. Arbuthnot. 119. Welcome—Scene in Desert ,White,105,0,0,
"HAAG, Carl",1885,4/25/2016,Christie's,,George Schlotel. (1120T.) 18. Crossing the Desert. 175x345 ,Guthrie,451,10,0,
"HAAG, Carl",1886,5/22/2016,Christie's,,S. Addington. (547 W.) 27. ' A Rehearsal—Cairo. 131X19 ,Vokins,288,15,0,
"HAAG, Carl",1891,4/11/2016,Christie's,,Sir Henry Arthur Hunt. 52. Filial Love. Drawing ,Vokins,220,10,0,
"HAAG, Carl",1891,5/2/2016,Christie's,,H. W. F. Bolckow. 20. The Chamois Hunter. Drawing. 20x14 ,Agnew,126,0,0,
"HAAG, Carl",1891,5/11/2016,Christie's,,Andrew G. Kurtz. 149. Crypt of Temple at Jerusalem ,Agnew,157,10,0,
"HAAG, Carl",1892,4/30/2016,Christie's,,Messrs. Murrieta. 36. A Moorish Interior. Drawing. 13IX19I ,Agnew,152,0,0,
"HAAG, Carl",1892,4/30/2016,Christie's,,Messrs. Murrieta. 37. Woman and Child on a Camel. Drawing. 20.5 x 14.5,Gooden,136,10,0,
"HAAG, Carl",1852,4/30/2016,Christie's,,Messrs. Murrieta. 38. A Bedouin Sheikh. Dg. 19JX13-J ,Agnew,246,15,0,
"HAAG, Carl",1892,4/30/2016,Christie's,,Messrs. Murrieta. 39. Entrance to a Mosque. Dg. 25x15 ,Agnew,199,10,0,
"HAAG, Carl",1892,4/30/2016,Christie's,,Messrs. Murrieta. 40. Happiness in the Desert. Dg. 10x20,McLean,178,10,0,
"HAAG, Carl",1894,5/9/2016,Christie's,,"Reginald H. Prance. 58. La Ilia, Ha ill alia. Dg. 17x34 Agnew",Agnew,231,0,0,
"HAAG, Carl",1896,5/16/2016,Christie's,,Charles Thomas Lucas. 65. Es Salam at Palmera. 45 x 30^ Agnew,Agnew,420,0,0,
"HAAG, Carl",1896,6/13/2016,Christie's,,Sir Julian Goldsmid. 12. Elieza Returning. 1884. Dg. 43x31 ,Gribble,231,0,0,
"HAAG, Carl",1899,4/21/2016,Christie's,,William Dell. 30. Bedouin Soldiers and Camel. 20x14! Agnew,Agnew,257,5,0,
"HAAG, Carl",1899,6/17/2016,Christie's,,T.E.Beaumont. 12. Ready for Defence. 20J-X14 ,Marks,126,0,0,
"HAAG, Carl",1900,4/28/2016,Christie's,,Gilbert Winter Moss. 75. Temple of Jupiter. Drawing. 45 x 30 ,Agnew,105,0,0,
"HAAG, Carl",1902,12/13/2016,Christie's,,George Boulton. 14. The Sheikh and his Guide. 1875. 2o|x14A ,Vokins,173,5,0,
"HAAG, Carl",1904,7/2/2016,Christie's,,C.A.Swinburne. 21. The Holy Rock. 1891. 40x22 ,Wallis,110,5,0,
"HAAG, Carl",1908,1/25/2016,Christie's,,Mrs. M. Waffenbach. 139. Swooping Terror of Desert. 1873. Drawing. 26 x 52 ,Martin,168,0,0,
"HAAS, T. H. L. de",1877,5/11/2016,Christie's,,George Fox. 65. Donkeys on the Downs ,Mitchell,136,10,0,
"HAAS, T. H. L. de",1877,5/11/2016,Christie's,,George Fox. 76. Impending Storm ,Lomax,283,10,0,
"HAAS, T. H. L. de",1881,2/12/2016,Christie's,,Charles Kurtz. (723 M.) 35. Going to the Fields ,Bought in,215,5,0,
"HAAS, T. H. L. de",1881,3/26/2016,Christie's,,Daniel Roberts. (985 M.) 122. The Rencontre ,Bought in,215,5,0,
"HAAS, T. H. L. de",1881,5/21/2016,Christie's,,"Henry Lovatt. (1219M.) 131. On the Coast, Picardy. 35x63 ",Bought in,430,10,0,
"HAAS, T. H. L. de",1881,5/28/2016,Christie's,,M. de Murrieta. (825 M.) 70. Cows at Pasture ,Grindley,152,5,0,
"HAAS, T. H. L. de",1882,4/24/2016,Christie's,,James S. Forbes. (77 P.) 145. Cattle Bought in,Bought in,126,0,0,
"HAAS, T. H. L. de",1884,3/1/2016,Christie's,,M. Colnaghi. 174. Coast Scene and Cattle,McLean,210,0,0,
"HAAS, T. H. L. de",1885,4/25/2016,Christie's,,George Schlotel. (1120 T.) 67. Pasturage in Holland. 27^ x36 ,Lawrie,147,0,0,
"HACKAERT, John",1797,5/17/2016,Mr. Christie,,Mr. Bryan. 29. Landscape. Painted with Lingelbach,—,48,6,0,
"HACKAERT, John",1840,5/30/2016,Christie's,,"William Wilkins, R.A. 81. The Retreat. Painted with Vandevelde ",—,162,,0,
"HACKAERT, John",1845,6/21/2016,Christie's,,Earl Granville. 15. Stag Hunt in a Wood. Smith Sup. 756. Painted with Berghem,Nieuwenhuys,682,10,0,
"HACKAERT, John",1846,5/12/2016,Phillips,,Mons. Duval. 44. Entrance to a Forest. Painted with Lingelbach. 37X31,—,—,,,
"HACKAERT, John",1846,5/13/2016,Phillips,,Mons. Duval. 106. Marshy Forest—Stag Hunt. Painted with A. Vandevelde. 25x19,—,—,,,
"HACKAERT, John",1893,6/10/2016,Christie's,,John Pemberton Heywood. 50. River Scene. Painted with Lingelbach. 31^x39!,Sedelmeyer,220,10,0,
"HACKAERT, John",1893,6/24/2016,Christie's,,H. Bingham Mildmay. 20. Forest Scene—Hawking Party. 37x31 ,Colnaghi,105,0,0,
"HACKAERT, John",1902,5/8/2016,Christie's,,Duke of Cleveland. 23. Cavaliers and Ladies by a Lake. Painted with Lingelbach. 28x22,Donaldson,115,10,0,
"HACKAERT, John",1913,7/11/2016,Christie's,,Duke of Sutherland. 107. Woods at the Hague. 26^x21^ ,Jones,420,0,0,
"HACKER, Arthur",1888,2/18/2016,Christie's,,C. C. Grimes. 32. The Mother. 1883,—,94,10,0,
"HACKER, Arthur",1913,5/23/2016,Christie's,,G. McCulloch. 62. Vae Victis. 64^x107,Cobbett,365,0,0,
"HAGEN, George Van der. Fl",1879,6/28/2016,Christie's,,ThomasKibble. 79. Forest Scene. Painted with Wouvermans ,M.Colnaghi,210,0,0,
"HAGHE, Louis",1854,—,"Town Hall, L'pl.",,Charles Langton. 91. Chapel at Dixmeur Cathedral. Drawing ,—,—,,,
"HAGHE, Louis",1858,5/24/2016,Foster's,,"JohnPalmer. 71. Interior, Brewers'Corporation, Antwerp. Dg. 20 x 14 ",—,49,7,0,
"HAGHE, Louis",1861,12/4/2016,Christie's,,"- 136. Town Hall, Louvain. 27x37",—,267,5,0,
"HAGHE, Louis",1863,4/17/2016,Christie's,,Lewin B. Mozley. 164. Council Chamber at Oudenarde,Isaac,159,12,0,
